HEADING,DATE,NEWS,text,predicted_label
 BETHLEHEM STEEL & lt;BS > SETS PLATE PRICE INCREASES," BETHLEHEM, Pa., April 1 -"," Bethlehem Steel Corp said its  base price for carbon plates and high-strength and low-alloy  plates will be increased by 25 dlrs to 405 dlrs a short ton,  effective July one.  The company said its composite prices for alloy plates will  also be increased 25 dlrs per ton on the same date, adding it  does not publish its prices for this product.  Bethlehem Steel said its composite prices for strip mill  plates will be increased 15 dlrs a ton.  Reuter ",bethlehem steel lt bs sets plate price increases bethlehem steel corp said its base price for carbon plates and high strength and low alloy plates will be increased by dlrs to dlrs a short ton effective july one the company said its composite prices for alloy plates will also be increased dlrs per ton on the same date adding it does not publish its prices for this product bethlehem steel said its composite prices for strip mill plates will be increased dlrs a ton reuter,-1
 LAC & lt;LAC > INTERSECTS MORE GOLD AT DOYON MINE," TORONTO, March 3 -"," Lac Minerals Ltd and & lt;Cambior Inc > said  they completed a second hole at their jointly owned Doyon mine  in Quebec, which showed two significant gold intersections.  One intersection graded 0.33 ounce gold a short ton over 44  feet at depth of 1,411 feet, while the other graded 0.22 ounce  gold a ton over 23 feet at 2,064 feet, the companies said. The  hole is 460 feet east of the previously reported first hole.  They said they were now drilling another hole 460 feet to  the west of the first drill hole and expected to report results  in late March or early April.  Reuter ",lac lt lac intersects more gold at doyon mine lac minerals ltd and lt cambior inc said they completed a second hole at their jointly owned doyon mine in quebec which showed two significant gold intersections one intersection graded ounce gold a short ton over feet at depth of feet while the other graded ounce gold a ton over feet at feet the companies said the hole is feet east of the previously reported first hole they said they were now drilling another hole feet to the west of the first drill hole and expected to report results in late march or early april reuter,-1
 COMEX RAISES MARGINS FOR SILVER FUTURES," NEW YORK, April 1 -"," The Commodity Exchange Inc said it is  increasing the minimum margins for silver futures contracts,  effective at the opening of business Thursday, April 2.  The margins for speculative trading will be increased to  2,000 dlrs per contract from 1,300 dlrs and trade hedge margins  will rise to 1,400 dlrs from 900 dlrs, the Comex said.  Margins are unchanged for gold, copper, and aluminum  contracts, it said.  Reuter ",comex raises margins for silver futures the commodity exchange inc said it is increasing the minimum margins for silver futures contracts effective at the opening of business thursday april the margins for speculative trading will be increased to dlrs per contract from dlrs and trade hedge margins will rise to dlrs from dlrs the comex said margins are unchanged for gold copper and aluminum contracts it said reuter,-1
 U.S. CITRUS CROP ESTIMATE -- USDA," WASHINGTON, April 9 -"," The U.S. Agriculture Department  estimated 1986/87 citrus production, as follows (in boxes) --  Total U.S. orange crop (excluding Florida Temples) --  190,050,000 boxes, vs 190,850,000 boxes last month and  176,410,000 boxes in the 1985/86 crop.  Florida oranges (excluding Temples) -- 122,900,000 boxes,  vs 124,000,000 last month and 119,000,000 boxes in 1985/86.  Florida Temples -- 3,400,000 boxes, vs 3,400,000 last month  and 2,950,000 boxes in 1985/86.  The department's estimates are based on April 1 crop  conditions.  Reuter ",u s citrus crop estimate usda the u s agriculture department estimated citrus production as follows in boxes total u s orange crop excluding florida temples boxes vs boxes last month and boxes in the crop florida oranges excluding temples boxes vs last month and boxes in florida temples boxes vs last month and boxes in the department s estimates are based on april crop conditions reuter,1
 ZINC CONCENTRATE SUPPLY SHORTFALL SEEN IN 1988," AMSTERDAM, June 16 -"," Next year is likely to see a shortfall  in zinc concentrates of up to 100,000 tonnes, although there  should be ample supply in 1987, Shearson Lehman Brothers Ltd  metals analyst Stephen Briggs said.  Speaking on the second day of Metal Bulletin's base metals  conference, Briggs said the major factor in his predicted  100,000 tonne shortfall in zinc concentrate supply in 1988 was  the imminent cessation of new mining and termination of milling  at Pine Point in Canada.  However, this could be partially offset by some stockpiles.  Nevertheless, despite this predicted shortfall there was  unlikely to be any dramatic change in treatment charges in  1988. The picture for 1987, on the other hand, was one of  record production of zinc metal with fewer strikes anticipated  in Canada, some improvement in South America and new capacity  in South Korea.  ""Dramatic new record levels of concentrate output are also  expected in 1987,"" Briggs said.  This would partly be due to a return to more normal levels  at existing mines in Australia and Peru, allied with  achievement of full capacity of 170,000 tonnes a year at Faro  in Canada.  Looking further forward, the major event was the probable  opening in 1991 of the Red Dog mine in Alaska with a capacity  of 300,000 tonnes of concentrates a year.  ""Once this mine is fully on stream it is unlikely that there  will be a major shortage of concentrates in the early 1990s,"" he  added.  The picture for lead was also closely allied to that of  zinc, with no new dedicated lead mines planned and therefore  supply of concentrates largely dependent on by-products from  zinc mines.  ""On this basis, our calculations point to a modest  oversupply of lead concentrates in 1987,"" Briggs said.  The copper forecast, however, was for a record  non-Socialist output of 6.6 mln tonnes of concentrates in 1987,  increasing by a further 150,000 tonnes in 1988.  Production of primary refined copper metal would also  increase, but not by as much as concentrate output, leading to  a moderate oversupply of concentrates of up to 150,000 tonnes  this year and with no shortages predicted for the rest of the  decade, he said.  REUTER ",zinc concentrate supply shortfall seen in next year is likely to see a shortfall in zinc concentrates of up to tonnes although there should be ample supply in shearson lehman brothers ltd metals analyst stephen briggs said speaking on the second day of metal bulletin s base metals conference briggs said the major factor in his predicted tonne shortfall in zinc concentrate supply in was the imminent cessation of new mining and termination of milling at pine point in canada however this could be partially offset by some stockpiles nevertheless despite this predicted shortfall there was unlikely to be any dramatic change in treatment charges in the picture for on the other hand was one of record production of zinc metal with fewer strikes anticipated in canada some improvement in south america and new capacity in south korea dramatic new record levels of concentrate output are also expected in briggs said this would partly be due to a return to more normal levels at existing mines in australia and peru allied with achievement of full capacity of tonnes a year at faro in canada looking further forward the major event was the probable opening in of the red dog mine in alaska with a capacity of tonnes of concentrates a year once this mine is fully on stream it is unlikely that there will be a major shortage of concentrates in the early s he added the picture for lead was also closely allied to that of zinc with no new dedicated lead mines planned and therefore supply of concentrates largely dependent on by products from zinc mines on this basis our calculations point to a modest oversupply of lead concentrates in briggs said the copper forecast however was for a record non socialist output of mln tonnes of concentrates in increasing by a further tonnes in production of primary refined copper metal would also increase but not by as much as concentrate output leading to a moderate oversupply of concentrates of up to tonnes this year and with no shortages predicted for the rest of the decade he said reuter,-1
 PHILIPPINE SUGAR CROP SET AT 1.6 MLN TONNES," MANILA, March 27 -"," Philippine sugar production in the  1987/88 crop year ending August has been set at 1.6 mln tonnes,  up from a provisional 1.3 mln tonnes this year, Sugar  Regulatory Administration (SRA) chairman Arsenio Yulo said.  Yulo told Reuters a survey during the current milling  season, which ends next month, showed the 1986/87 estimate  would almost certainly be met.  He said at least 1.2 mln tonnes of the 1987/88 crop would  be earmarked for domestic consumption.  Yulo said about 130,000 tonnes would be set aside for the  U.S. Sugar quota, 150,000 tonnes for strategic reserves and  50,000 tonnes would be sold on the world market.  He said if the government approved a long-standing SRA  recommendation to manufacture ethanol, the project would take  up another 150,000 tonnes, slightly raising the target.  ""The government, for its own reasons, has been delaying  approval of the project, but we expect it to come through by  July,"" Yulo said.  Ethanol could make up five pct of gasoline, cutting the oil  import bill by about 300 mln pesos.  Yulo said three major Philippine distilleries were ready to  start manufacturing ethanol if the project was approved.  The ethanol project would result in employment for about  100,000 people, sharply reducing those thrown out of work by  depressed world sugar prices and a moribund domestic industry.  Production quotas, set for the first time in 1987/88, had  been submitted to President Corazon Aquino.  ""I think the President would rather wait till the new  Congress convenes after the May elections,"" he said. ""But there  is really no need for such quotas. We are right now producing  just slightly over our own consumption level.""  ""The producers have never enjoyed such high prices,"" Yulo  said, adding sugar was currently selling locally for 320 pesos  per picul, up from 190 pesos last August.  Yulo said prices were driven up because of speculation  following the SRA's bid to control production.  ""We are no longer concerned so much with the world market,""  he said, adding producers in the Negros region had learned from  their mistakes and diversified into corn and prawn farming and  cloth production.  He said diversification into products other than ethanol  was also possible within the sugar industry.  ""The Brazilians long ago learnt their lessons,"" Yulo said.  ""They have 300 sugar mills, compared with our 41, but they  relocated many of them and diversified production. We want to  call this a 'sugarcane industry' instead of the sugar industry.""  He said sugarcane could be fed to pigs and livestock, used  for thatching roofs, or used in room panelling.  ""When you cut sugarcane you don't even have to produce  sugar,"" he said.  Yulo said the Philippines was lobbying for a renewal of the  International Sugar Agreement, which expired in 1984.  ""As a major sugar producer we are urging them to write a new  agreement which would revive world prices,"" Yulo said.  ""If there is no agreement world prices will always be  depressed, particularly because the European Community is  subsidising its producers and dumping sugar on the markets.""  He said current world prices, holding steady at about 7.60  cents per pound, were uneconomical for the Philippines, where  production costs ranged from 12 to 14 cents a pound.  ""If the price holds steady for a while at 7.60 cents I  expect the level to rise to about 11 cents a pound by the end  of this year,"" he said.  Yulo said economists forecast a bullish sugar market by  1990, with world consumption outstripping production.  He said sugar markets were holding up despite encroachments  from artificial sweeteners and high-fructose corn syrup.  ""But we are not happy with the Reagan Administration,"" he  said. ""Since 1935 we have been regular suppliers of sugar to the  U.S. In 1982, when they restored the quota system, they cut  ours in half without any justification.""  Manila was keenly watching Washington's moves to cut  domestic support prices to 12 cents a pound from 18 cents.  The U.S. Agriculture Department last December slashed its  12 month 1987 sugar import quota from the Philippines to  143,780 short tons from 231,660 short tons in 1986.  Yulo said despite next year's increased production target,  some Philippine mills were expected to shut down.  ""At least four of the 41 mills were not working during the  1986/87 season,"" he said. ""We expect two or three more to follow  suit during the next season.""  REUTER ",philippine sugar crop set at mln tonnes philippine sugar production in the crop year ending august has been set at mln tonnes up from a provisional mln tonnes this year sugar regulatory administration sra chairman arsenio yulo said yulo told reuters a survey during the current milling season which ends next month showed the estimate would almost certainly be met he said at least mln tonnes of the crop would be earmarked for domestic consumption yulo said about tonnes would be set aside for the u s sugar quota tonnes for strategic reserves and tonnes would be sold on the world market he said if the government approved a long standing sra recommendation to manufacture ethanol the project would take up another tonnes slightly raising the target the government for its own reasons has been delaying approval of the project but we expect it to come through by july yulo said ethanol could make up five pct of gasoline cutting the oil import bill by about mln pesos yulo said three major philippine distilleries were ready to start manufacturing ethanol if the project was approved the ethanol project would result in employment for about people sharply reducing those thrown out of work by depressed world sugar prices and a moribund domestic industry production quotas set for the first time in had been submitted to president corazon aquino i think the president would rather wait till the new congress convenes after the may elections he said but there is really no need for such quotas we are right now producing just slightly over our own consumption level the producers have never enjoyed such high prices yulo said adding sugar was currently selling locally for pesos per picul up from pesos last august yulo said prices were driven up because of speculation following the sra s bid to control production we are no longer concerned so much with the world market he said adding producers in the negros region had learned from their mistakes and diversified into corn and prawn farming and cloth production he said diversification into products other than ethanol was also possible within the sugar industry the brazilians long ago learnt their lessons yulo said they have sugar mills compared with our but they relocated many of them and diversified production we want to call this a sugarcane industry instead of the sugar industry he said sugarcane could be fed to pigs and livestock used for thatching roofs or used in room panelling when you cut sugarcane you don t even have to produce sugar he said yulo said the philippines was lobbying for a renewal of the international sugar agreement which expired in as a major sugar producer we are urging them to write a new agreement which would revive world prices yulo said if there is no agreement world prices will always be depressed particularly because the european community is subsidising its producers and dumping sugar on the markets he said current world prices holding steady at about cents per pound were uneconomical for the philippines where production costs ranged from to cents a pound if the price holds steady for a while at cents i expect the level to rise to about cents a pound by the end of this year he said yulo said economists forecast a bullish sugar market by with world consumption outstripping production he said sugar markets were holding up despite encroachments from artificial sweeteners and high fructose corn syrup but we are not happy with the reagan administration he said since we have been regular suppliers of sugar to the u s in when they restored the quota system they cut ours in half without any justification manila was keenly watching washington s moves to cut domestic support prices to cents a pound from cents the u s agriculture department last december slashed its month sugar import quota from the philippines to short tons from short tons in yulo said despite next year s increased production target some philippine mills were expected to shut down at least four of the mills were not working during the season he said we expect two or three more to follow suit during the next season reuter,1
 REAGAN'S REMARKS HELP GOLD TO RECOVER IN HONG KONG," HONG KONG, March 5 -"," Gold rose by about 50 U.S. Cents an  ounce, following a statement by President Ronald Reagan that  the arms-for-hostages deal with Iran ""was a mistake,"" dealers  said.  Bullion rose to 409.40/90 dlrs from an initial low of  408.90/409.40. This compares with the opening of 409.00/50 and  New York's close of 410.00/50.  Dealers noted mild short-covering in the metal after some  initial selling by local investors. Trading was fairly quiet  this morning partly owed to the slow U.S. Dollar activities,  they added.  However, Reagan's remarks had only a short-lived bullish  impact on the gold price, which is now stabilising at 409.10/60  dlrs, dealers said.  On the local market, the metal traded in a narrow range of  3,800 and 3,805 H.K. Dlrs a tael against yesterday's 3,778  close.  REUTER ",reagan s remarks help gold to recover in hong kong gold rose by about u s cents an ounce following a statement by president ronald reagan that the arms for hostages deal with iran was a mistake dealers said bullion rose to dlrs from an initial low of this compares with the opening of and new york s close of dealers noted mild short covering in the metal after some initial selling by local investors trading was fairly quiet this morning partly owed to the slow u s dollar activities they added however reagan s remarks had only a short lived bullish impact on the gold price which is now stabilising at dlrs dealers said on the local market the metal traded in a narrow range of and h k dlrs a tael against yesterday s close reuter,-1
 CBT TRADERS LOOK AHEAD TO SPRING PLANTINGS," CHICAGO, March 3 -"," Chicago Board of trade grain traders and  analysts voiced a lot of interest in how farmers planned to  handle their upcoming spring plantings, prompting sales of new  crop months of corn and oats and purchases in new crop soybeans  in the futures markets.  Professionals in the grains trade think that farmers will  be more willing to stick with corn acres than soybeans because  corn is protected by the acreage reduction program. That gives  deficiency payments to farmers if corn prices stay low.  Farmers can place soybeans under the loan program if they  sign-up for reduced acreage, but they have no price guarantees.  With the price outlook for both commodities so dismal,  traders believe farmers will want to stick with a sure thing  rather than gamble on soybeans, even though the new crop  soybean/corn ratio of 2.9/1 would make planting soybeans more  attractive under normal circumstances.  An announcement late Friday that the USDA will lift the  limited cross-compliance requirement for the 1987 oats crop,  means farmers will be able plant an estimated two to three mln  more oat acres this year than last without being penalized,  traders said.  Here too, acres some farmers may have been thinking of  shifting to soybeans will now be planted with oats, due to the  more attractive deal from the government, they added.  Cotton prices are almost twice what they were just six  months ago, which should prompt many farmers in the South to  put soybean land back into cotton.  One of the reasons for the steady increase in soybean  production in recent years has been a general shift of acres in  traditional cotton producing regions of the South to soybeans,  which are easier to grow, one commercial trader said.  Reuter ",cbt traders look ahead to spring plantings chicago board of trade grain traders and analysts voiced a lot of interest in how farmers planned to handle their upcoming spring plantings prompting sales of new crop months of corn and oats and purchases in new crop soybeans in the futures markets professionals in the grains trade think that farmers will be more willing to stick with corn acres than soybeans because corn is protected by the acreage reduction program that gives deficiency payments to farmers if corn prices stay low farmers can place soybeans under the loan program if they sign up for reduced acreage but they have no price guarantees with the price outlook for both commodities so dismal traders believe farmers will want to stick with a sure thing rather than gamble on soybeans even though the new crop soybean corn ratio of would make planting soybeans more attractive under normal circumstances an announcement late friday that the usda will lift the limited cross compliance requirement for the oats crop means farmers will be able plant an estimated two to three mln more oat acres this year than last without being penalized traders said here too acres some farmers may have been thinking of shifting to soybeans will now be planted with oats due to the more attractive deal from the government they added cotton prices are almost twice what they were just six months ago which should prompt many farmers in the south to put soybean land back into cotton one of the reasons for the steady increase in soybean production in recent years has been a general shift of acres in traditional cotton producing regions of the south to soybeans which are easier to grow one commercial trader said reuter,1
 U.S. STEEL PRODUCTION ROSE 1.3 PCT IN WEEK," New York, March 30 -"," Steel production rose  1.3 pct to 1,696,000 short tons in the  week ended March 28 from 1,675,000 short  tons, the American Iron and Steel Institute  reported  Production so far this year was 18,810,000 tons adjusted off  14.6 pct from 22,016,000 tons  produced by the nations mills a year ago.  Utilization for the week of March 28 was   78.7 pct and for  the week of March 21 was      was 77.8 pct.  Reuter ",u s steel production rose pct in week steel production rose pct to short tons in the week ended march from short tons the american iron and steel institute reported production so far this year was tons adjusted off pct from tons produced by the nations mills a year ago utilization for the week of march was pct and for the week of march was was pct reuter,1
" GHANA COCOA PURCHASES 1,323 TONNES IN  LATEST WEEK, CUMULATIVE 216,095 TONNES - OFFICIAL",(NO DATE),(NO TEXT),ghana cocoa purchases tonnes in latest week cumulative tonnes official no text,1
 VENEZUELA PLANS METALS INVESTMENT FOR 1987-89," CARACAS, March 30 -"," The Venezuela Guayana Corporation, CVG,  which oversees the state steel, iron, aluminum and other  industries, will invest 75 billion bolivars in new projects  during 1987-89, CVG president Leopoldo Sucre Figarella  announced.  The investments will go to plant expansion, infrastructure  and the extension of hydroelectric facilities in the  mineral-rich Guayana region, south of the Orinoco river.  Sucre Figarella told a news conference the CVG's 12  companies showed an overall increase of 120 pct in profits,  which rose from 1.732 billion bolivars in 1985 to 3.926 billion  bolivars last year.  Among the best performers was steel company Sidor which  earned 1.019 billion bolivars, the first time since 1978 Sidor  turned a profit.  The gain was made possible in part by the refinancing of  1.619 mln dollars of foreign debt.  CVG's three aluminum companies also showed substantial  gains. Interalumina, which makes the intermediate material  alumina, had an increase in profits from 116 to 217 mln  bolivars, Alcasa earned 487 mln bolivars, as compared to 1985's  412 mln and Venalum's profits rose by around half, from 1.042  to 1.504 bln bolivars.  Meanwhile, the state iron company Ferrominera saw its  profits rise from 156 mln bolivars in 1985 to 204 mln bolivars  last year.  Reuter ",venezuela plans metals investment for the venezuela guayana corporation cvg which oversees the state steel iron aluminum and other industries will invest billion bolivars in new projects during cvg president leopoldo sucre figarella announced the investments will go to plant expansion infrastructure and the extension of hydroelectric facilities in the mineral rich guayana region south of the orinoco river sucre figarella told a news conference the cvg s companies showed an overall increase of pct in profits which rose from billion bolivars in to billion bolivars last year among the best performers was steel company sidor which earned billion bolivars the first time since sidor turned a profit the gain was made possible in part by the refinancing of mln dollars of foreign debt cvg s three aluminum companies also showed substantial gains interalumina which makes the intermediate material alumina had an increase in profits from to mln bolivars alcasa earned mln bolivars as compared to s mln and venalum s profits rose by around half from to bln bolivars meanwhile the state iron company ferrominera saw its profits rise from mln bolivars in to mln bolivars last year reuter,-1
 TECK STILL IN TALKS ON B.C. COPPER VENTURE," VANCOUVER, British Columbia, April 8 -"," & lt;Teck Corp > said it  was continuing talks about joining a joint copper venture at  Highland Valley, British Columbia, held by affiliates Cominco  Ltd & lt;CLT > and & lt;Lornex Mining Corp > , but did not know when  negotiations would be completed.  Teck vice-president of administration John Guminski said in  reply to a query that the talks had been ""ongoing for a long  time."" He declined to speculate on the outcome.  Cominco, 29.5 pct owned by a consortium led by Teck, is  optimistic that the talks will soon be concluded, spokesman Don  Townson told Reuters.  ""I think all partners are hopeful that the situation will be  resolved,"" Cominco's Townson said.  ""We're optimistic that they will be concluded shortly,"" he  added. Townson declined to specify when the talks might end.  Cominco and Teck's 22 pct-owned Lornex agreed in January  1986 to form the joint venture, merging their Highland Valley  copper operations.  Cominco and Lornex share equally in control and management  of the Highland Valley operations, while Cominco has a 55 pct  share of production and Lornex receives 45 pct.  For the six months following July 1, 1986, when the venture  officially started production, Highland Valley had total ore  milled of 22.6 mln short tons, grading an average of 0.41 pct  copper, Townson said.  Cominco's share of production was 43,000 short tons of  copper contained in concentrate, 1,200 short tons of Molybdenum  in concentrate, 340,000 ounces of silver and 800 ounces of  gold, he said.  A consortium, 50 pct owned by Teck and 25 pct each by MIM  (Canada) Inc and Metallgesellschaft Canada Ltd, acquired its  Cominco stake last year from Canadian Pacific Ltd & lt;CP > .  Reuter ",teck still in talks on b c copper venture lt teck corp said it was continuing talks about joining a joint copper venture at highland valley british columbia held by affiliates cominco ltd lt clt and lt lornex mining corp but did not know when negotiations would be completed teck vice president of administration john guminski said in reply to a query that the talks had been ongoing for a long time he declined to speculate on the outcome cominco pct owned by a consortium led by teck is optimistic that the talks will soon be concluded spokesman don townson told reuters i think all partners are hopeful that the situation will be resolved cominco s townson said we re optimistic that they will be concluded shortly he added townson declined to specify when the talks might end cominco and teck s pct owned lornex agreed in january to form the joint venture merging their highland valley copper operations cominco and lornex share equally in control and management of the highland valley operations while cominco has a pct share of production and lornex receives pct for the six months following july when the venture officially started production highland valley had total ore milled of mln short tons grading an average of pct copper townson said cominco s share of production was short tons of copper contained in concentrate short tons of molybdenum in concentrate ounces of silver and ounces of gold he said a consortium pct owned by teck and pct each by mim canada inc and metallgesellschaft canada ltd acquired its cominco stake last year from canadian pacific ltd lt cp reuter,-1
 COMINCO LEAD/ZINC UNION REJECTS CONTRACT," TRAIL, BRITISH COLUMBIA, June 1 -"," Three United Steelworkers  of America locals on strike at Cominco Ltd rejected a tentative  three-year contract, a union representative said.  ""The vote was 1,229, or 54.5 pct, against, and 1,028, or  45.5 pct, for the contract. Eighty-one pct of the membership  voted,"" he said.  The union representative said that the pact offered cost of  living increases designed to keep pace with inflation, but  contained no wage increase.  The locals' bargaining committees are expected to meet and  prepare for the reopening of negotiations with Cominco, he  said.  The three locals cover about 2,600 production and  maintenance workers at Cominco's Trail smelter and Kimberley,  B.C. lead-zinc mine.  Output at both sites has been shut down since the  production and maintenance workers, along with about 600 office  and technical workers, went on strike May 9.  The two Steelworkers locals representing the office and  technical workers have not negotiated since May 21.  The strike caused Cominco to declare force majeure, which  means the company may not be able to honor contracts for  products from the smelter and mine.  Each of the five locals have separate contracts, all of  which expired April 30, but the main issues are similar.  The union had requested a three pct wage increase in each  year of a two-year contract. Cominco had pressed for a  three-year contract and some loosening of the rules on job  classifications.  The Trail smelter, about 400 miles east of Vancouver,  produced 240,000 long tons of zinc and 110,000 long tons of  lead last year. The Sullivan mine at Kimberley, about 450 miles  east of Vancouver, produced 2.2 mln long tons of ore last year,  most for processing at the Trail smelter.  The smelter also produced cadmium, bismuth and indium.  Revenues from the Trail smelter totalled 356 mln Canadian  dlrs in 1986.  Reuter ",cominco lead zinc union rejects contract three united steelworkers of america locals on strike at cominco ltd rejected a tentative three year contract a union representative said the vote was or pct against and or pct for the contract eighty one pct of the membership voted he said the union representative said that the pact offered cost of living increases designed to keep pace with inflation but contained no wage increase the locals bargaining committees are expected to meet and prepare for the reopening of negotiations with cominco he said the three locals cover about production and maintenance workers at cominco s trail smelter and kimberley b c lead zinc mine output at both sites has been shut down since the production and maintenance workers along with about office and technical workers went on strike may the two steelworkers locals representing the office and technical workers have not negotiated since may the strike caused cominco to declare force majeure which means the company may not be able to honor contracts for products from the smelter and mine each of the five locals have separate contracts all of which expired april but the main issues are similar the union had requested a three pct wage increase in each year of a two year contract cominco had pressed for a three year contract and some loosening of the rules on job classifications the trail smelter about miles east of vancouver produced long tons of zinc and long tons of lead last year the sullivan mine at kimberley about miles east of vancouver produced mln long tons of ore last year most for processing at the trail smelter the smelter also produced cadmium bismuth and indium revenues from the trail smelter totalled mln canadian dlrs in reuter,-1
 GATT OFFICIAL MEETS WITH U.S. FARM LEADERS," WASHINGTON, April 8 -"," The official in charge of  agricultural matters in the new round of global trade talks is  in Washington today and tomorrow to meet with congressional and  Reagan administration officials.  Aart de Zeeuw, chairman of the General Agreement on Tariffs  and Trade's negotiating group on agriculture, met this morning  with members of the House Agriculture Committee.  Committee sources said De Zeeuw expressed concern over  protectionism and high farm price supports. House lawmakers  noted that in 1985 the United States took steps to reduce loan  rates, committee staff said.  ""Members told him (De Zeeuw) that we lowered our (U.S.) loan  rates and can't eliminate subsidies unilaterally,"" one source  said.  De Zeeuw was told of the U.S. lawmakers' frustration with  Japan's restrictive rice import policy, and members defended  the U.S. dairy policy, which aims to cut surplus production by  subsidizing producers to trim herds, sources said.  Later today De Zeeuw will meet the Senate Agriculture  members and Undersecretary of State Affairs Allen Wallis.  Tomorrow, De Zeeuw is to meet the House Ways and Means  Trade Subcommittee and the Senate Finance Committee, before  visiting Agriculture Secretary Richard Lyng.  De Zeeuw goes to Canada later this week. His trip to North  America is part of his attempt to meet farm policy leaders in  the key GATT member states.  The negotiating group on agriculture held its first meeting  in February and is expected to meet again in May.  Reuter ",gatt official meets with u s farm leaders the official in charge of agricultural matters in the new round of global trade talks is in washington today and tomorrow to meet with congressional and reagan administration officials aart de zeeuw chairman of the general agreement on tariffs and trade s negotiating group on agriculture met this morning with members of the house agriculture committee committee sources said de zeeuw expressed concern over protectionism and high farm price supports house lawmakers noted that in the united states took steps to reduce loan rates committee staff said members told him de zeeuw that we lowered our u s loan rates and can t eliminate subsidies unilaterally one source said de zeeuw was told of the u s lawmakers frustration with japan s restrictive rice import policy and members defended the u s dairy policy which aims to cut surplus production by subsidizing producers to trim herds sources said later today de zeeuw will meet the senate agriculture members and undersecretary of state affairs allen wallis tomorrow de zeeuw is to meet the house ways and means trade subcommittee and the senate finance committee before visiting agriculture secretary richard lyng de zeeuw goes to canada later this week his trip to north america is part of his attempt to meet farm policy leaders in the key gatt member states the negotiating group on agriculture held its first meeting in february and is expected to meet again in may reuter,1
 & lt;CORNUCOPIA RESOURCES LTD > IN DRILLING PROGRAM," VANCOUVER, March 30 -"," Cornucopia Resources Ltd said an  extensive drill and sampling program will begin in mid-April at  its Ivanhoe gold property in north central Nevada.  It said it will seek to increase the present reserves of  eight mln short tons grading 0.045 ounce of gold per ton that  had been found by USX Corp & lt;X > on a small portion of the  13,.000 acre property, determine the location of possible  high-grade ore zones at depth and test other targets.  Reuter ",lt cornucopia resources ltd in drilling program cornucopia resources ltd said an extensive drill and sampling program will begin in mid april at its ivanhoe gold property in north central nevada it said it will seek to increase the present reserves of eight mln short tons grading ounce of gold per ton that had been found by usx corp lt x on a small portion of the acre property determine the location of possible high grade ore zones at depth and test other targets reuter,-1
 VESSEL LOST IN PACIFIC WAS CARRYING LEAD," LONDON, June 18 -"," The 37,635 deadweight tonnes bulk carrier  Cumberlande, which sank in the South Pacific last Friday, was  carrying a cargo which included lead as well as magnesium ore,  a Lloyds Shipping Intelligence spokesman said.  He was unable to confirm the tonnages involved.  Trade reports circulating the London Metal Exchange said  the vessel, en route to New Orleans from Newcastle, New South  Wales, had been carrying 10,000 tonnes of lead concentrates.  Traders said this pushed lead prices higher in early morning  trading as the market is currently sensitive to any fundamental  news due to its finely balanced supply/demand position and low  stocks.  Trade sources said that 10,000 tonnes of lead concentrates  could convert to around 5,000 tonnes of metal, although this  depended on the quality of the concentrates.  A loss of this size could cause a gap in the supply  pipeline, particularly in North America, they noted. Supplies  there have been very tight this year and there is a strike at  one major producer, Cominco, and labour talks currently being  held at another, Noranda subsidiary Brunswick Mining and  Smelting Ltd.  REUTER ",vessel lost in pacific was carrying lead the deadweight tonnes bulk carrier cumberlande which sank in the south pacific last friday was carrying a cargo which included lead as well as magnesium ore a lloyds shipping intelligence spokesman said he was unable to confirm the tonnages involved trade reports circulating the london metal exchange said the vessel en route to new orleans from newcastle new south wales had been carrying tonnes of lead concentrates traders said this pushed lead prices higher in early morning trading as the market is currently sensitive to any fundamental news due to its finely balanced supply demand position and low stocks trade sources said that tonnes of lead concentrates could convert to around tonnes of metal although this depended on the quality of the concentrates a loss of this size could cause a gap in the supply pipeline particularly in north america they noted supplies there have been very tight this year and there is a strike at one major producer cominco and labour talks currently being held at another noranda subsidiary brunswick mining and smelting ltd reuter,-1
 SUDAN RECEIVES 50 MLN DLRS IN PL480 AUTHORITY," WASHINGTON, March 13 -"," Authorizations to purchase 50 mln  dlrs worth of U.S. wheat and wheat flour under Public Law 480  were issued to Sudan today, the Agriculture Department said.  The authorization provides for 34 mln dlrs -- about 309,000  tonnes -- worth of wheat, grade U.S. number two or better  (except durum which shall be number three or better).  It also provides for 16 mln dlrs -- about 73,000 tonnes --  worth of wheat flour.  The contracting period for both commodities is March 20  through August 31, 1987. The delivery period for wheat is March  20 through September 30, 1987 and for wheat flour is April 10  through SEptember 30, 1987, USDA said.  Reuter ",sudan receives mln dlrs in pl authority authorizations to purchase mln dlrs worth of u s wheat and wheat flour under public law were issued to sudan today the agriculture department said the authorization provides for mln dlrs about tonnes worth of wheat grade u s number two or better except durum which shall be number three or better it also provides for mln dlrs about tonnes worth of wheat flour the contracting period for both commodities is march through august the delivery period for wheat is march through september and for wheat flour is april through september usda said reuter,1
 USX & lt;X > UNIT OFFERS STEEL PRICES DIRECTORY," PITTSBURGH, June 18 -"," USX Corp said its USS division has  available a comprehensive sheet steel selection and pricing  system detailing the company's full line of products.  The company said it was the first complete update in 25  years.  The new prices in the book are effective after Oct One,  1987, the company said.  Reuter ",usx lt x unit offers steel prices directory usx corp said its uss division has available a comprehensive sheet steel selection and pricing system detailing the company s full line of products the company said it was the first complete update in years the new prices in the book are effective after oct one the company said reuter,-1
